"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHOSIS_000001","PUBLISHED","2019","EMR","","AFG","MLE","63.3","63.28709","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EMR","","AFG","FMLE","63.2","63.15551","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EMR","","AFG","BTSX","63.2","63.20990","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AFR","","AGO","MLE","60.7","60.70384","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AFR","","AGO","FMLE","65.5","65.51968","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","ALB","MLE","70.7","70.65347","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","ALB","FMLE","76.9","76.91914","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","ALB","BTSX","73.5","73.54528","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EMR","","ARE","MLE","72.2","72.19550","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EMR","","ARE","FMLE","75.1","75.05625","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EMR","","ARE","BTSX","73.2","73.18027","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EMR","","ARE","BTSX","74.9","74.86285","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AMR","","ARG","MLE","72.1","72.14228","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AMR","","ARG","FMLE","78.6","78.63397","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AMR","","ARG","BTSX","75.4","75.43737","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EUR","","ARM","MLE","69.4","69.38869","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EUR","","ARM","FMLE","76.6","76.61044","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EUR","","ARM","BTSX","74.5","74.51096","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AMR","","ATG","MLE","74.4","74.43078","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AMR","","ATG","FMLE","77.8","77.75526","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AMR","","ATG","BTSX","76.1","76.13984","","","","",""
"WHOSIS_000001","PUBLISHED","2015","WPR","","AUS","MLE","80.4","80.40707","","","","",""
"WHOSIS_000001","PUBLISHED","2015","WPR","","AUS","FMLE","84.2","84.16809","","","","",""
"WHOSIS_000001","PUBLISHED","2019","WPR","","AUS","BTSX","83.0","83.04064","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EUR","","AUT","MLE","79.4","79.44242","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EUR","","AUT","FMLE","83.8","83.78033","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EUR","","AUT","BTSX","81.6","81.64519","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EUR","","AZE","MLE","68.8","68.78060","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","AZE","BTSX","65.5","65.52002","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","","BDI","MLE","41.8","41.79497","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","","BDI","FMLE","45.9","45.85238","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","","BDI","BTSX","43.8","43.78423","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","BEL","MLE","74.5","74.53505","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","BEL","FMLE","80.7","80.73817","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EUR","","BEL","BTSX","79.8","79.84602","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AFR","","BEN","MLE","58.0","58.03378","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AFR","","BEN","FMLE","62.9","62.87867","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AFR","","BEN","BTSX","60.5","60.47139","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AFR","","BFA","MLE","56.2","56.18855","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AFR","","BFA","FMLE","60.8","60.78899","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AFR","","BFA","FMLE","63.4","63.44909","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AFR","","BFA","BTSX","60.9","60.91832","","","","",""
"WHOSIS_000001","PUBLISHED","2015","SEAR","","BGD","MLE","72.5","72.49697","","","","",""
"WHOSIS_000001","PUBLISHED","2015","SEAR","","BGD","FMLE","74.8","74.78614","","","","",""
"WHOSIS_000001","PUBLISHED","2015","SEAR","","BGD","BTSX","73.6","73.58051","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EUR","","BGR","MLE","71.2","71.17231","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EUR","","BGR","FMLE","78.6","78.59532","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EUR","","BGR","BTSX","75.1","75.07156","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EMR","","BHR","MLE","75.0","75.04118","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EMR","","BHR","FMLE","77.0","77.01587","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EMR","","BHR","BTSX","75.8","75.81459","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AMR","","BHS","MLE","69.9","69.85220","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AMR","","BHS","BTSX","70.9","70.93668","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","BIH","MLE","72.6","72.60197","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","BIH","FMLE","78.0","78.03024","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","BIH","BTSX","75.4","75.41919","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","BLR","MLE","63.3","63.27564","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","BLR","FMLE","74.6","74.60679","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EUR","","BLR","FMLE","76.4","76.40522","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EUR","","BLR","BTSX","70.4","70.38769","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AMR","","BLZ","MLE","70.9","70.89174","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AMR","","BLZ","FMLE","76.1","76.11723","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AMR","","BLZ","BTSX","73.4","73.38513","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AMR","","BOL","MLE","69.4","69.43961","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AMR","","BOL","FMLE","72.5","72.45124","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AMR","","BOL","BTSX","71.5","71.51860","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AMR","","BRA","MLE","71.7","71.66687","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AMR","","BRA","FMLE","78.6","78.64028","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AMR","","BRA","BTSX","75.1","75.13264","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AMR","","BRB","MLE","75.0","75.01022","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AMR","","BRB","FMLE","77.7","77.66379","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AMR","","BRB","BTSX","76.0","76.03440","","","","",""
"WHOSIS_000001","PUBLISHED","2019","WPR","","BRN","MLE","73.4","73.38683","","","","",""
"WHOSIS_000001","PUBLISHED","2019","WPR","","BRN","FMLE","75.4","75.35551","","","","",""
"WHOSIS_000001","PUBLISHED","2019","WPR","","BRN","BTSX","74.3","74.32442","","","","",""
"WHOSIS_000001","PUBLISHED","2000","SEAR","","BTN","FMLE","66.6","66.59171","","","","",""
"WHOSIS_000001","PUBLISHED","2000","SEAR","","BTN","BTSX","65.7","65.69579","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","","BWA","MLE","43.9","43.89779","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","","BWA","FMLE","47.8","47.76789","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","","BWA","BTSX","45.6","45.58516","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","","CAF","MLE","43.2","43.23857","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AFR","","CAF","FMLE","50.4","50.43916","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AFR","","CAF","BTSX","48.5","48.51089","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AMR","","CAN","MLE","79.3","79.25688","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AMR","","CAN","FMLE","83.3","83.27262","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AMR","","CAN","BTSX","81.3","81.30580","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EUR","","CHE","MLE","80.0","80.02937","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EUR","","CHE","MLE","80.6","80.64204","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EUR","","CHE","FMLE","84.5","84.50005","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EUR","","CHE","BTSX","82.6","82.61449","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AMR","","CHL","MLE","77.0","76.97810","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AMR","","CHL","FMLE","82.5","82.50868","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AMR","","CHL","BTSX","79.8","79.81646","","","","",""
"WHOSIS_000001","PUBLISHED","2019","WPR","","CHN","MLE","74.7","74.72757","","","","",""
"WHOSIS_000001","PUBLISHED","2019","WPR","","CHN","FMLE","80.5","80.49312","","","","",""
"WHOSIS_000001","PUBLISHED","2019","WPR","","CHN","BTSX","77.4","77.43322","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AFR","","CIV","MLE","60.5","60.52891","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AFR","","CIV","FMLE","65.8","65.81046","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AFR","","CIV","BTSX","62.9","62.91527","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","","CMR","FMLE","54.4","54.35109","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","","CMR","BTSX","52.8","52.82113","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","","COD","MLE","50.5","50.46237","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","","COD","FMLE","54.5","54.48838","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","","COD","BTSX","52.4","52.44439","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AFR","","COG","MLE","61.0","60.98846","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AFR","","COG","FMLE","60.8","60.84641","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AFR","","COG","BTSX","61.0","60.95192","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AMR","","COL","MLE","74.0","74.00397","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AMR","","COL","FMLE","80.1","80.14824","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AMR","","COL","BTSX","77.1","77.09467","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AFR","","COM","MLE","65.1","65.06989","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AFR","","COM","FMLE","67.8","67.84341","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AFR","","COM","BTSX","66.5","66.45436","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AFR","","CPV","MLE","72.2","72.17604","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AFR","","CPV","FMLE","77.6","77.58920","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AFR","","CPV","BTSX","74.9","74.88204","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AFR","","CPV","BTSX","74.0","74.03075","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AMR","","CRI","MLE","78.3","78.31458","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AMR","","CRI","FMLE","83.4","83.43867","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AMR","","CRI","BTSX","80.8","80.84692","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AMR","","CUB","MLE","75.4","75.36885","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AMR","","CUB","FMLE","80.3","80.25120","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","CYP","MLE","76.5","76.52765","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","CYP","FMLE","81.0","80.98973","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","CYP","BTSX","78.7","78.74654","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","CZE","MLE","71.5","71.53430","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","CZE","FMLE","78.3","78.28870","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","CZE","BTSX","75.0","74.95213","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EUR","","DEU","MLE","77.8","77.77688","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EUR","","DEU","FMLE","82.5","82.53684","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EUR","","DEU","BTSX","80.2","80.16794","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EMR","","DJI","MLE","60.6","60.63437","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EMR","","DJI","FMLE","63.3","63.25947","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EMR","","DJI","BTSX","61.9","61.86740","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EMR","","DJI","BTSX","64.6","64.64274","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EUR","","DNK","MLE","78.8","78.79980","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EUR","","DNK","FMLE","82.4","82.35448","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EUR","","DNK","BTSX","80.6","80.59389","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AMR","","DOM","MLE","68.6","68.62415","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AMR","","DOM","FMLE","75.2","75.20355","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AMR","","DOM","BTSX","72.8","72.84367","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AFR","","DZA","MLE","76.2","76.22712","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AFR","","DZA","FMLE","78.1","78.12115","","","","",""
